ID,x,y,z,nx,ny,nz,s
0,0.0187664,-0.00968649,-0.499107,0.0392548,-0.0160372,-0.999101,0.000570508
1,-0.00542328,-0.0183105,-0.499026,-0.0158781,-0.0484067,-0.998701,0.000706141
2,-0.0130688,0.00595039,-0.498755,-0.0795113,0.0337614,-0.996262,0.000807765
3,0.0223318,0.0143134,-0.498612,0.0392349,0.0355984,-0.998596,0.000843446
4,0.00729968,0.0288877,-0.498476,0.0210486,0.0473618,-0.998656,0.000733958
5,-0.0262375,0.0119417,-0.498126,5.17E-05,0.00236306,-0.999997,0.000816861
6,-0.0108474,-0.0366615,-0.497924,-0.0167181,-0.0618451,-0.997946,0.000709753
7,0.0375294,-0.0193767,-0.497764,0.0734792,-0.0421733,-0.996405,0.000572031
8,0.0116937,-0.0476475,-0.496966,0.0185945,-0.10682,-0.994104,0.000724309
9,0.0358809,-0.0389867,-0.496725,0.0733269,-0.0752148,-0.994468,0.000586945
10,-0.0464288,-0.0198191,-0.496402,-0.145491,-0.018132,-0.989193,0.000813675
11,-0.0190204,0.0496007,-0.496126,-0.0906211,0.120791,-0.988533,0.000813946
12,0.0464838,0.0298266,-0.496122,0.10355,0.0526335,-0.993231,0.000986808
13,0.057912,-0.00969024,-0.496091,0.117522,-0.0160309,-0.992941,0.000570729
14,-0.0386843,-0.0441614,-0.495929,-0.0824006,-0.099928,-0.991577,0.000708136
15,0.0145748,0.0577084,-0.495804,0.0227424,0.126035,-0.991765,0.000735614
16,-0.053196,0.0241599,-0.495517,-0.155832,0.0686124,-0.985398,0.000854575
17,-0.0599129,-0.013709,-0.495152,-0.0703912,-0.0477641,-0.996375,0.000851449
18,0.00628321,-0.0661444,-0.494945,0.0175003,-0.120897,-0.992511,0.000718701
19,0.0633009,0.0155133,-0.494944,0.117431,0.0425884,-0.992167,0.000914401
20,-0.0324948,0.0557088,-0.494766,-0.0155137,0.0911809,-0.995713,0.000851166
21,0.054641,-0.0487032,-0.494155,0.10765,-0.100481,-0.989098,0.000580785
22,0.00142341,0.07243,-0.494083,0.00943399,0.13453,-0.990865,0.000731756
23,-0.0668786,0.0303472,-0.493517,-0.0839507,0.0402783,-0.995656,0.000845056
24,-0.0440818,-0.0626105,-0.493479,-0.0832938,-0.114567,-0.989917,0.000721733
25,-0.0216555,-0.0736074,-0.493453,-0.0482936,-0.158232,-0.98622,0.000724368
26,0.076642,-0.0193906,-0.493254,0.151961,-0.0424077,-0.987476,0.000576326
27,0.0536967,0.0602886,-0.492567,0.0966996,0.129156,-0.986898,0.00103652
28,0.0288345,-0.0774765,-0.492486,0.0530404,-0.166335,-0.984642,0.000736543
29,0.0368199,0.073596,-0.492386,0.0889307,0.134469,-0.986919,0.000875689
30,0.0750196,-0.0387936,-0.492357,0.151655,-0.0741453,-0.985649,0.000578134
31,0.0530051,-0.0686961,-0.491937,0.107756,-0.135431,-0.98491,0.000604708
32,-0.0597359,0.0679223,-0.490694,-0.168954,0.156079,-0.973187,0.000838962
33,-0.0903458,-0.00105215,-0.49057,-0.222477,0.0179115,-0.974773,0.0010553
34,0.0877169,0.0306756,-0.490476,0.184577,0.0505996,-0.981515,0.000945752
35,-0.0797669,-0.0453265,-0.490455,-0.210124,-0.0703316,-0.975142,0.000831823
36,0.0967865,-0.00970037,-0.489992,0.195065,-0.0160148,-0.980659,0.000571325
37,-0.0251322,0.0929868,-0.489576,-0.10051,0.206972,-0.97317,0.000832939
38,-0.0271856,-0.0947871,-0.489428,-0.0499581,-0.186303,-0.981221,0.000930967
39,-0.0716804,-0.0698856,-0.489254,-0.148304,-0.150779,-0.97738,0.000714075
40,0.0238471,-0.0972121,-0.489199,0.0510359,-0.18618,-0.981189,0.000820117
41,0.0086177,0.101083,-0.488944,0.0108423,0.212888,-0.977017,0.000739241
42,0.102473,0.0151623,-0.488362,0.194914,0.042502,-0.979899,0.000893712
43,0.0944246,-0.048976,-0.488049,0.188848,-0.102719,-0.976619,0.000629214
44,0.0721243,-0.0785277,-0.488,0.143258,-0.160227,-0.976629,0.000627525
45,-0.0965173,-0.038857,-0.487872,-0.163084,-0.0886076,-0.982625,0.00119707
46,-0.00423429,-0.10706,-0.487634,-0.013796,-0.220668,-0.975251,0.000901187
47,-0.0386907,0.0990129,-0.487504,-0.0280267,0.177857,-0.983657,0.000842248
48,-0.0734396,0.0774004,-0.487343,-0.115137,0.134955,-0.98414,0.00101144
49,0.077927,0.0757792,-0.487299,0.160619,0.144561,-0.976373,0.000897459
50,-0.106099,0.00901083,-0.487279,-0.180905,-0.00484733,-0.983489,0.00115903
51,-0.0963358,0.0498883,-0.486875,-0.220561,0.119131,-0.968071,0.00117751
52,0.0439954,0.102171,-0.486806,0.0779077,0.211169,-0.97434,0.000776167
53,0.0951301,0.0604796,-0.486386,0.185269,0.127938,-0.974324,0.000895649
54,0.0931652,-0.0687172,-0.48591,0.187171,-0.132718,-0.973321,0.000623446
55,-0.00446349,0.115531,-0.485797,-0.00187896,0.220699,-0.97534,0.000724972
56,0.115874,-0.0197363,-0.485495,0.231644,-0.0439364,-0.971808,0.000610843
