ID,x,y,z,nx,ny,nz,s
0,0.333567143,0.121917143,-0.142442857,-0.0182079,0.0153345,-0.999717,0.000367575
1,0.325481429,0.139388571,-0.142432143,-0.016252,-0.0298513,-0.999422,0.000370211
2,0.317201429,-0.160737143,-0.1424,0.00364304,-0.0211155,-0.99977,0.000353279
3,0.344104286,0.086783571,-0.1424,-0.0204211,-0.028618,-0.999382,0.000370334
4,-0.352445,0.044009714,-0.142394286,0.0377719,-0.0200357,-0.999086,0.000285582
5,0.2923,-0.198775714,-0.142389286,-0.0299258,0.0395601,-0.998769,0.000352687
6,0.31344,-0.177062143,-0.142379286,0.00840094,0.0155663,-0.999844,0.000358577
7,0.34636,0.069034857,-0.142370714,-0.0223786,0.0198774,-0.999552,0.000370996
8,-0.212865,-0.28632,-0.142352857,-0.0140353,-0.0260136,-0.999563,0.000482873
9,-0.181990714,-0.307311429,-0.142352857,-0.0204867,-0.0229888,-0.999526,0.000480013
10,0.341900714,-0.104567143,-0.142324286,-0.00441768,0.0300831,-0.999538,0.000388821
11,-0.035731,0.355457857,-0.142302857,0.0251563,0.0125085,-0.999605,0.000473275
12,0.256683571,-0.251022143,-0.142294286,0.0213478,-0.0398225,-0.998979,0.000412039
13,-0.356946429,0.021077929,-0.142287857,0.0272549,-0.0111306,-0.999567,0.000323317
14,0.343059286,-0.088302143,-0.142285,-0.0057172,-0.0265152,-0.999632,0.00036252
15,-0.244587857,-0.264975,-0.142280714,-0.0269202,-0.0486356,-0.998454,0.000503068
16,-0.152019286,-0.328245,-0.142261429,-0.0377781,-0.045154,-0.998265,0.000470093
17,0.3573,-0.016328643,-0.142251429,0.00760877,-0.0369798,-0.999287,0.000394273
18,0.231080714,-0.26925,-0.14225,-0.000260079,-0.0208618,-0.999782,0.000424668
19,0.122587857,-0.335234286,-0.142246429,0.0310943,-0.0144711,-0.999412,0.000449048
20,0.354247143,0.017087643,-0.142234286,-0.0239715,0.0323512,-0.999189,0.000410105
21,0.357482143,-0.032643857,-0.142234286,0.00750044,0.0350586,-0.999357,0.000393602
22,-0.35384,-0.043982429,-0.142233571,-0.0286894,0.0245117,-0.999288,0.000373865
23,0.297323571,-0.182850714,-0.142212857,-0.0370315,0.00311146,-0.999309,0.000341226
24,0.312129286,0.175537143,-0.142209286,0.0183412,0.0381785,-0.999103,0.000510459
25,0.336582143,-0.137482143,-0.142206429,0.0517706,-0.0469486,-0.997555,0.000369174
26,-0.359343571,-0.0041935,-0.142205714,0.0166449,-0.00788155,-0.99983,0.000386382
27,0.351337143,0.034174429,-0.142205714,-0.0239389,-0.0371247,-0.999024,0.000410133
28,0.021711571,0.354698571,-0.1422,-0.0129683,-0.0409164,-0.999078,0.000593362
29,-0.015970429,0.360668571,-0.14218,-0.0171827,0.00428247,-0.999843,0.000472155
30,-0.114399286,-0.336789286,-0.142168571,0.0415239,0.00727433,-0.999111,0.000464612
31,-0.361070714,-0.0607135,-0.142167143,-0.040862,-0.00177937,-0.999163,0.000388009
32,-0.09618,-0.341755714,-0.142165,-0.0311226,0.0173051,-0.999366,0.000507084
33,0.280972143,-0.231143571,-0.142158571,0.048523,-0.0591104,-0.997071,0.000402649
34,0.195562143,-0.300717857,-0.142150714,-0.00446851,0.0241208,-0.999699,0.000462116
35,0.223333571,-0.285111429,-0.142142143,0.00996555,0.00180365,-0.999949,0.00044687
36,0.062408714,0.347155714,-0.142134286,-0.0129823,-0.062384,-0.997968,0.000590679
37,0.279988571,0.220558571,-0.142134286,-0.0212292,-0.0347419,-0.999171,0.000545582
38,0.167490714,-0.316105,-0.142132143,-0.0178175,0.0240597,-0.999552,0.000496648
39,-0.265929286,-0.229128571,-0.142131429,0.0365758,0.0603244,-0.997508,0.000538362
40,-0.350853571,-0.017171143,-0.142125714,0.00688171,0.0117054,-0.999908,0.000364404
41,0.140675,-0.333939286,-0.142112143,-0.0137998,-0.0160657,-0.999776,0.00045392
42,0.269705,-0.219215714,-0.14211,-0.0617152,0.0684018,-0.995747,0.000357859
43,0.103462857,0.337364286,-0.142109286,-0.0150094,-0.061357,-0.998003,0.000628071
44,-0.235232143,0.267903571,-0.142107857,-0.0322317,-0.0195926,-0.999288,0.000527051
45,0.14393,0.327585714,-0.142102143,0.0135475,-0.0259774,-0.999571,0.000581974
46,0.358312857,-0.064812786,-0.142095,0.0603368,-0.0422005,-0.997286,0.00037581
47,0.164967857,0.317778571,-0.142085,-0.0227257,3.97E-05,-0.999742,0.000614
48,0.323201429,-0.12849,-0.142082143,-0.0691085,0.0540484,-0.996144,0.000355766
49,-0.203090714,-0.303368571,-0.142072857,-0.0147668,-0.0233374,-0.999619,0.000489946
50,-0.361405714,-0.031041714,-0.142072143,-0.00591163,-0.0189501,-0.999803,0.000385763
51,-0.276220714,-0.241749286,-0.142065,-0.0558956,-0.0697316,-0.995999,0.000466801
52,0.203934286,-0.28542,-0.142063571,-0.0177611,-0.000728152,-0.999842,0.000458206
53,-0.346658571,0.031904143,-0.142057857,0.0321132,-0.00178499,-0.999483,0.000278168
54,0.306707143,0.194458571,-0.142049286,0.0227734,-0.00873087,-0.999703,0.000527265
55,-0.349169286,0.0087105,-0.142048571,0.0217867,0.00285968,-0.999759,0.000338619
56,0.148732143,-0.316693571,-0.142048571,0.008752,0.026073,-0.999622,0.000447878
57,-0.347842143,0.097112857,-0.142045714,-0.0541838,0.0347789,-0.997925,0.00045326
58,0.085067857,-0.340657857,-0.142045,-0.0468109,0.0447776,-0.9979,0.00051773
59,0.09457,-0.354417857,-0.142038571,0.0393911,-0.0643173,-0.997152,0.000440965
60,0.065192571,-0.344606429,-0.142031429,0.02698,0.0420415,-0.998752,0.000535158
61,-0.251347857,0.257797143,-0.142027857,0.0238245,0.021195,-0.999491,0.00049565
62,-0.074822857,0.346812143,-0.142027143,-0.0350208,-0.0321802,-0.998868,0.000550332
63,-0.334519286,0.123346429,-0.142020714,-0.023215,0.0298311,-0.999285,0.000472639
64,0.249735714,-0.267286429,-0.142013571,0.0295023,-0.0169584,-0.999421,0.000428617
65,-0.094235,0.341101429,-0.142012857,0.0418534,-0.00478096,-0.999112,0.000585276
66,0.285735,0.201765,-0.142005714,-0.0271505,0.00666495,-0.999609,0.000536245
67,-0.000721993,0.348601429,-0.142004286,0.0147714,-0.0287936,-0.999476,0.000581612
68,0.002456757,-0.356328571,-0.142002857,0.0355068,0.0139947,-0.999271,0.000606592
69,0.3334,-0.153931429,-0.141981429,0.0551243,-0.00205496,-0.998477,0.000385392
70,0.023845786,-0.352567857,-0.141977143,-0.0397973,0.0188465,-0.99903,0.000591505
71,-0.321830714,0.149468571,-0.141971429,-0.0241036,0.0060666,-0.999691,0.000481371
72,-0.27678,-0.210245714,-0.141967857,0.0485878,0.007091,-0.998794,0.000559536
73,0.251629286,0.24541,-0.141961429,-0.0471227,-0.0618485,-0.996973,0.000579832
74,0.342515,-0.056534643,-0.141952143,-0.0783189,0.0447578,-0.995923,0.000370644
75,-0.234382143,-0.282201429,-0.141949286,-0.0329873,-0.0249073,-0.999145,0.000491124
76,-0.203509286,0.289837143,-0.141944286,0.0517026,0.00747257,-0.998635,0.000555051
77,-0.186906429,0.300552143,-0.141941429,-0.0246085,-0.0426233,-0.998788,0.000598321
78,-0.341704286,0.065762429,-0.141930714,0.0856183,-0.044509,-0.995333,0.000355778
79,-0.057940571,-0.351674286,-0.141927857,0.0458017,-0.00777505,-0.99892,0.000587311
80,-0.038617571,-0.355992143,-0.141919286,-0.045419,0.00472026,-0.998957,0.000589944
81,-0.172532857,-0.324440714,-0.141914286,-0.0134605,-0.046806,-0.998813,0.000484131
82,0.175934286,-0.300067143,-0.14191,-0.0185315,0.0227452,-0.99957,0.000460497
83,0.358589286,-0.08067,-0.141879286,0.0610236,0.0171438,-0.997989,0.000375268
84,0.351427143,0.113749286,-0.141875714,0.0920041,0.00834958,-0.995724,0.00037029
85,0.356712143,0.096169286,-0.141872857,0.0905321,0.0461974,-0.994821,0.00037091
86,-0.310122143,0.176684286,-0.141870714,-0.038987,0.0145218,-0.999134,0.000550117
87,0.193342143,0.293387143,-0.141870714,-0.0505494,-0.0521646,-0.997358,0.000644862
88,-0.141328571,-0.314932857,-0.141867857,0.0592214,0.0907306,-0.994113,0.000453385
89,-0.152166429,0.320701429,-0.141860714,0.0504572,0.0103745,-0.998672,0.000604143
90,0.362676429,0.060411786,-0.141855714,0.0761837,-0.019131,-0.99691,0.000435934
91,-0.133661429,0.328425,-0.141852857,-0.0392343,-0.0302376,-0.998772,0.000628418
92,0.325753571,-0.112284286,-0.141836429,-0.0723853,-0.000855624,-0.997376,0.000365713
93,-0.359962143,0.071436429,-0.141803571,-0.0916508,0.046487,-0.994706,0.000381673
94,0.365879286,0.042797857,-0.141801429,0.0756836,0.0421337,-0.996241,0.000414224
95,0.113748571,-0.351316429,-0.141797857,0.00508238,-0.0642088,-0.997924,0.0004075
96,0.222312857,0.269275714,-0.141779286,-0.0610089,-0.0708036,-0.995623,0.000609474
97,0.304128571,-0.209846429,-0.141771429,0.0834101,-0.0783461,-0.993431,0.000400712
98,0.337355,0.149114286,-0.141755714,0.079227,0.06656,-0.994632,0.000468646
99,-0.301211429,-0.205175,-0.141752143,-0.0546512,0.0100708,-0.998455,0.000652418
100,0.341989286,-0.040515286,-0.141742143,-0.0802947,-0.0239555,-0.996483,0.00036923
101,0.323755,0.11259,-0.141729286,-0.0877611,-0.0554539,-0.994597,0.000372659
