xp,yp,gpz,vor,up,vp,sp,active,chi
2.05,0.65,-0.000386427,-0.966067,1.01056,-0.455162,0.02,1,0
2.07,0.65,-0.000349761,-0.874401,1.00533,-0.453094,0.02,1,0
2.09,0.65,-0.00031548,-0.7887,0.9998,-0.450351,0.02,1,0
2.11,0.65,-0.000283485,-0.708713,0.994032,-0.446978,0.02,1,0
2.05,0.67,-0.000321655,-0.804136,1.03015,-0.449534,0.02,1,0
2.07,0.67,-0.000288966,-0.722416,1.02385,-0.447178,0.02,1,0
2.09,0.67,-0.000258655,-0.646637,1.01733,-0.444203,0.02,1,0
2.11,0.67,-0.000230566,-0.576414,1.01064,-0.440653,0.02,1,0
2.05,0.69,-0.000261465,-0.653662,1.0469,-0.442878,0.02,1,0
2.07,0.69,-0.000232865,-0.582162,1.03968,-0.440307,0.02,1,0
2.09,0.69,-0.000206541,-0.516352,1.03231,-0.437171,0.02,1,0
2.11,0.69,-0.000182313,-0.455783,1.02484,-0.433509,0.02,1,0
2.05,0.71,-0.000206715,-0.516786,1.06097,-0.435344,0.02,1,0
2.07,0.71,-0.000182176,-0.455441,1.05299,-0.43263,0.02,1,0
2.09,0.71,-0.000159743,-0.399358,1.04493,-0.429398,0.02,1,0
2.11,0.71,-0.000139234,-0.348085,1.03682,-0.425688,0.02,1,0
2.13,0.65,-0.00025365,-0.634125,0.988082,-0.44302,0.02,1,0
2.15,0.65,-0.000225902,-0.564755,0.982001,-0.438521,0.02,1,0
2.17,0.65,-0.000200185,-0.500462,0.975832,-0.433529,0.02,1,0
2.19,0.65,-0.000176436,-0.44109,0.969525,-0.428148,0.02,1,0
2.13,0.67,-0.000204528,-0.51132,1.00383,-0.43657,0.02,1,0
2.15,0.67,-0.000180446,-0.451115,0.996954,-0.431993,0.02,1,0
2.17,0.67,-0.000158251,-0.395628,0.990047,-0.42696,0.02,1,0
2.19,0.67,-0.000137876,-0.34469,0.983235,-0.42149,0.02,1,0
2.13,0.69,-0.000159993,-0.399982,1.01732,-0.429362,0.02,1,0
2.15,0.69,-0.000139468,-0.348671,1.00977,-0.424763,0.02,1,0
2.17,0.69,-0.000120665,-0.301662,1.00225,-0.41975,0.02,1,0
2.19,0.69,-0.000103459,-0.258648,0.994726,-0.414393,0.02,1,0
2.13,0.71,-0.000120458,-0.301146,1.02871,-0.421532,0.02,1,0
2.15,0.71,-0.000103303,-0.258257,1.02064,-0.416964,0.02,1,0
2.17,0.71,-8.76869e-05,-0.219217,1.01265,-0.412011,0.02,1,0
2.19,0.71,-7.35076e-05,-0.183769,1.0048,-0.406684,0.02,1,0
2.05,0.73,-0.000157966,-0.394916,1.07259,-0.427086,0.02,1,0
2.07,0.73,-0.000137342,-0.343356,1.064,-0.424297,0.02,1,0
2.09,0.73,-0.000118609,-0.296524,1.05538,-0.421032,0.02,1,0
2.11,0.73,-0.000101596,-0.25399,1.04678,-0.417328,0.02,1,0
2.05,0.75,-0.000115488,-0.288719,1.082,-0.41826,0.02,1,0
2.07,0.75,-9.85302e-05,-0.246325,1.07294,-0.415453,0.02,1,0
2.09,0.75,-8.32307e-05,-0.208077,1.0639,-0.412209,0.02,1,0
2.11,0.75,-6.94328e-05,-0.173582,1.05494,-0.408562,0.02,1,0
2.05,0.77,-7.93024e-05,-0.198256,1.08945,-0.40901,0.02,1,0
2.07,0.77,-6.56714e-05,-0.164179,1.08006,-0.406237,0.02,1,0
2.09,0.77,-5.35062e-05,-0.133765,1.07074,-0.403062,0.02,1,0
2.11,0.77,-4.25927e-05,-0.106482,1.06153,-0.399513,0.02,1,0
2.05,0.79,-4.90763e-05,-0.122691,1.09521,-0.399461,0.02,1,0
2.07,0.79,-3.85856e-05,-0.096464,1.08559,-0.396783,0.02,1,0
2.09,0.79,-2.90447e-05,-0.0726118,1.07613,-0.393708,0.02,1,0
2.11,0.79,-2.08115e-05,-0.0520288,1.06676,-0.39029,0.02,1,0
2.13,0.73,-8.6126e-05,-0.215315,1.03822,-0.413216,0.02,1,0
2.15,0.73,-7.20903e-05,-0.180226,1.02975,-0.408726,0.02,1,0
2.17,0.73,-5.94095e-05,-0.148524,1.0214,-0.403888,0.02,1,0
2.19,0.73,-4.79527e-05,-0.119882,1.01317,-0.398753,0.02,1,0
2.13,0.75,-5.69833e-05,-0.142458,1.04606,-0.404539,0.02,1,0
2.15,0.75,-4.57798e-05,-0.11445,1.03731,-0.400168,0.02,1,0
2.17,0.75,-3.57495e-05,-0.0893737,1.02871,-0.395474,0.02,1,0
2.19,0.75,-2.67891e-05,-0.0669728,1.0203,-0.390468,0.02,1,0
